sample,indexNumber,upshifted,heatshocked
1A,77,SURE,SURE
2A,78,SURE,SURE
3A,79,SURE,SURE
4A,80,SURE,SURE
5A,81,SURE,SURE
6A,82,SURE,SURE
1B,85,SURE,SURE
2B,86,SURE,SURE
3B,87,SURE,SURE
4B,88,SURE,SURE
5B,89,SURE,SURE
6B,90,SURE,SURE
1C,93,SURE,SURE
2C,94,SURE,SURE
3C,95,SURE,SURE
4C,96,SURE,SURE
5C,97,SURE,SURE
6C,98,SURE,SURE
1X,101,SURE,SURE
2X,102,SURE,SURE
3X,103,SURE,SURE
4X,104,SURE,SURE
5X,105,SURE,SURE
6X,106,SURE,SURE
1Y,109,SURE,SURE
2Y,110,SURE,SURE
3Y,111,SURE,SURE
4Y,112,SURE,SURE
5Y,113,SURE,SURE
6Y,114,SURE,SURE
1Z,117,SURE,SURE
2Z,118,SURE,SURE
3Z,119,SURE,SURE
4Z,120,SURE,SURE
5Z,1,SURE,SURE
6Z,2,SURE,SURE
